Publisher,search,Language,Title,Year,ISBN-13,Authors
Random House,Ready Player One,en,Ready Player One,2011,9781446493830,Ernest Cline
Permuted Platinum,14 - peter cline,en,14,2014,9781618684981,Peter Clines
47North,off to be the wizard - scott Meyers,en,Off To Be The Wizard,2014,9781612184715,Scott Meyer
,Zeus is dead - munz,,Zeus is dead: a monstrously inconvenient adventure,,9781620154168,Michael G. Munz
Harper Paperbacks,a dirty job - Christopher Moore,,A dirty job,2007,9780060590284,Christopher Moore
,Helen and troy's epic road quest - Martinez,,,,9781306760591,
"Little, Brown Book Group",when it's a jar - holt,,When it's a jar: a novel,2013,9781841497822,Tom Holt
Macmillan,Jonathan Strange & Mr Norrell,en,Jonathan Strange &Amp;Amp; Mr Norrell,2006,9780765356154,Susanna Clarke
Random House,Good Omens - Pratchett and Gaiman,en,"Good Omens: The Nice And Accurate Prophecies Of Agnes Nutter, Witch",2011,9780552159845,Terry Pratchett
HarperPrism,Hogfather - Pratchett,,Hogfather,1998,9780061050466,Terry Pratchett
Orbit,Inhertitance Trillogy - Jemisin,en,"The Inheritance Trilogy: Includes: The Hundred Thousand Kingdoms, The Broken Kingdoms, The Kingdom Of Gods, The Awakened Kingdom",2014,9780316334006,N. K. Jemisin
Orbit,Fifth Season and Obelisk Gate (additional series) - Jemisin,en,The Obelisk Gate,2016,9780316229265,N. K. Jemisin
DAW,Confederation Series - Tanya Huff,,A confederation of valor: Valor's choice ; The better part of valor,2006,9780756403997,Tanya Huff
Penguin,In Death - JD Robb (a bit of a romance novel/scifi series),en,Fantasy In Death,2010,9780425235898,J. D. Robb
Grove Press,Confederacy of Dunces - Toole,,A confederacy of dunces,1980,9780802130204,John Kennedy Toole
,Broom of the system - Foster Wallace,ja,The broom of the system,1999,9784062061612,デヴィッド・フォスター ウォレス
Putnam Adult,Elvis Cole detective series - Robert Crais,en,The Promise,2015,9780399161490,Robert Crais
"D A W Books, Incorporated",sun sword and house war series - Michelle West,en,The Broken Crown,1997,9780886777401,Michelle West
Thorndike Press Large Print,Last Picture of Sara DeVos - Dominic Smith,en,The Last Painting Of Sara De Vos,2016,9781410490636,Dominic Smith
Berkley Hardcover,Sunshine by Robin McKinley,en,Sunshine,2003,9780425191781,Robin McKinley
,"The City, Not Long After - Pat Murphy",,"The city, not long after",,9780575133501,Pat Murphy
,Adventures in Time and Space with Max Merriwell,,Adventures in time and space with Max Merriwell,,9780786130580,Pat Murphy
Harper Collins,The Last Days of Summer - Steve Kluger,en,Last Days Of Summer: A Novel,2005,9780060821449,Steve Kluger
,"Where Have You Gone, Bernadette?",,"Where'd you go, Bernadette: a novel",,9780316204262,Maria Semple
Fawcett Books,Mrs. Pollifax books - Dorothy Gilman,en,Mrs. Pollifax On Safari,1970,9780449208281,Dorothy Gilman
,Post Mortal - Drew Magary,,The postmortal: a novel,,9781452655321,Drew Magary
,Bringing Up Bebe,,Bringing up bébé: one American mother discovers the wisdom of French parenting,,9780143123583,Pamela Druckerman
,Name of the Wind,,The name of the wind: the kingkiller chronicle: day one,,9780345805362,Patrick Rothfuss
,nexus trilogy,en,Nexus,2016,9781525230486,Ramez Naam
,the cutting season - murder mystery,,The cutting season,,9780061802065,Attica Locke
Vintage,Station Eleven,,Station eleven: a novel,2015,9780804172448,Emily St. John Mandel
,maddaddam,,MaddAddam: a novel,,9781408819715,Margaret Atwood
"Random House Digital, Inc.",The City and the City,en,The City &Amp;Amp; The City,2009,9780345497512,China Miéville
Mysterious Press,anything by Nicci French - murder mystery,,Killing me softly,1999,9780446696883,Nicci French
Broadway Books,everything by Gillian Flynn,en,Gone Girl: A Novel,2014,9780307588371,Gillian Flynn
"Wheeler Publishing, Incorporated",The Passage by Justin Cronin,en,The Passage: A Novel,2010,9781410432872,Justin Cronin
Penguin,Moon Called - Patricial Briggs,en,Moon Called,2006,9781101208434,Patricia Briggs
Ediciones B,Three Body Problem,,El problema de los tres cuerpos,2016,9788466659734,Cixin Liu
Eos,anything by Guy Gavriel Kay (especially Lions of al-Rassan),,The lions of Al-Rassan,2005,9780060733490,Guy Gavriel Kay
,Stephenson's Seveneves,,,,9780857897831,
Spectra,the KSR Mars triology,,Red Mars,1993,9780553560732,Kim Stanley Robinson
Orbit,Leckie's Ancillary series,en,Ancillary Justice,2013,9780316246620,Ann Leckie
Subterranean Press,Mira Grants Newsfeed and Parasitology,en,Rolling In The Deep,2015,9781596067080,Mira Grant
Orbit,all of the Expanse books by Corey,en,Cibola Burn,2015,9780316334686,James S.A. Corey
Random House,Silo by Hugh Howey,en,Wool,2012,9781780891248,Hugh Howey
,Central Station,,,,9781616962166,
Broadway Books,Look Me in the Eye - John Elder Robison (about autism),en,Look Me In The Eye: My Life With Asperger's,2008,9780307396181,John Elder Robison
,the ocean at the end of the lane - Gaiman,,,,9782846268035,
Turtleback,Forest Gump (book),en,Forrest Gump,1994,9780785755708,Winston Groom
Berkley,Robert Heinlein's Stranger in a Strange Land,en,Stranger In A Strange Land,1982,9780425058336,Robert Anson Heinlein
,Light Between oceans,,,,9789722348485,
Del Rey Books,"Piers Anthony, Xanth series and Incarnations of Immortality series",en,Bearing An Hourglass,1985,9780345313157,Piers Anthony
"Random House Digital, Inc.","Stephen R Donaldson,",en,Lord Foul's Bane,1987,9780345348654,Stephen R. Donaldson
Hachette UK,Thomas Covenant the unbeliever series,en,Lord Foul's Bane,2013,9781473202504,Stephen Donaldson
,The Thought Gang,en,The Thought Gang,1994,9781565842861,Tibor Fischer
Grand Central Publishing,Riptide by Douglas Preston and Lincoln Child (mystery),en,Riptide,1998,9780446523363,Douglas Preston
Dutton,"Alan Mendelsohn, the Boy from Mars by Pinkwater (Young Adult)",,"Alan Mendelsohn, the boy from Mars",1979,9780525253600,Daniel Manus Pinkwater
